batch,run,threads,timeout_ms,frames,publisher_time_s,publisher_avg_fps,stage_time_s,stage_fps,cb_avg_ms,pipeline_e2e_s,drava_overhead_s,drava_overhead_pct,gpu_avg_power_w,gpu_avg_util_pct,gpu_avg_mem_mib,gpu_energy_j,gpu_energy_j_per_frame,cpu_energy_source,cpu_energy_j,cpu_energy_j_per_frame,cpu_rapl_energy_j,total_energy_j,total_energy_j_per_frame
8,1,2,200,512,1.455,351.93,15.722236,32.57,241.854,16.508021876215935,0.7857858762159342,4.7600244421050935,122.31301369863014,50.10958904109589,33543.0,2011.223038262226,3.9281699966059103,perf,,,,2011.223038262226,3.9281699966059103
8,2,2,200,512,1.588,322.51,15.833461,32.34,243.565,16.471011388115585,0.6375503881155851,3.8707421972617917,124.43205479452055,48.95890410958904,33543.0,2050.866781608127,4.005599182828373,perf,,,,2050.866781608127,4.005599182828373
8,3,2,200,512,1.398,366.23,15.702353,32.61,241.548,16.37150300387293,0.6691500038729306,4.087285105800199,125.73123287671231,50.054794520547944,33543.0,2047.2248664969434,3.9984860673768425,perf,,,,2047.2248664969434,3.9984860673768425
8,4,2,200,512,1.517,337.58,15.751486,32.5,242.304,16.508489049971104,0.7570030499711038,4.585538068806054,115.03808219178083,49.36986301369863,33543.0,1883.5189649239176,3.6787479783670265,perf,,,,1883.5189649239176,3.6787479783670265
8,5,2,200,512,1.71,299.5,15.637874,32.74,240.556,16.531382786110044,0.8935087861100435,5.404924667649612,124.17054054054056,49.62162162162162,33543.0,2051.6245142317243,4.007079129358837,perf,,,,2051.6245142317243,4.007079129358837
8,6,2,200,512,1.445,354.21,15.729515,32.55,241.965,16.45957383979112,0.7300588397911199,4.435466233191276,123.59301369863014,49.10958904109589,33543.0,2023.9966726038053,3.9531185011793073,perf,,,,2023.9966726038053,3.9531185011793073
8,7,2,200,512,1.156,442.82,15.928822,32.14,245.032,16.64952846057713,0.7207064605771301,4.328689922261906,127.83459459459459,49.013513513513516,33543.0,2120.1060323886386,4.14083209450906,perf,,,,2120.1060323886386,4.14083209450906
8,8,2,200,512,1.407,363.84,15.849893,32.3,243.818,16.475354292429984,0.6254612924299838,3.796345021347236,119.4113698630137,49.26027397260274,33543.0,1944.7984544192764,3.798434481287649,perf,,,,1944.7984544192764,3.798434481287649
8,9,2,200,512,1.428,358.51,15.855474,32.29,243.904,16.783969650045037,0.9284956500450381,5.532038423595139,123.65093333333333,49.0,33543.0,2070.884417293281,4.044696127525939,perf,,,,2070.884417293281,4.044696127525939
8,10,2,200,512,1.435,356.79,15.868092,32.27,244.098,17.102624656632543,1.2345326566325419,7.218381280172571,117.31947368421054,48.26315789473684,33543.0,2004.717629289096,3.9154641197052658,perf,,,,2004.717629289096,3.9154641197052658
16,1,2,200,512,1.544,331.56,13.449836,38.07,407.542,14.280718442983925,0.8308824429839259,5.818211781859868,110.44365079365079,56.19047619047619,33801.0,1546.808329826789,3.0211100191929474,perf,,,,1546.808329826789,3.0211100191929474
16,2,2,200,512,1.434,357.12,13.493029,37.95,408.851,14.320211519487202,0.8271825194872022,5.77632892057186,125.6471875,57.515625,33801.0,1799.4736572078423,3.514596986734067,perf,,,,1799.4736572078423,3.514596986734067
16,3,2,200,512,1.563,327.67,13.511837,37.89,409.42,14.550934627652168,1.0390976276521684,7.141105738166796,117.39769230769231,56.15384615384615,33801.0,1691.4427422508031,3.3035991059586,perf,,,,1691.4427422508031,3.3035991059586
16,4,2,200,512,1.414,362.06,13.485296,37.97,408.615,14.292508631013334,0.8072126310133338,5.6478022987634375,102.873125,55.734375,33801.0,1476.7816096957167,2.8843390814369467,perf,,,,1476.7816096957167,2.8843390814369467
16,5,2,200,512,1.438,356.0,13.490046,37.95,408.76,14.310101570561528,0.8200555705615287,5.730606219095828,124.59109375,57.40625,33801.0,1785.9036797579795,3.4880931245273037,perf,,,,1785.9036797579795,3.4880931245273037
16,6,2,200,512,1.621,315.94,13.58142,37.7,411.529,14.424163176678121,0.8427431766781215,5.842579332718038,119.48875,54.84375,33801.0,1715.9590454920753,3.3514825107267097,perf,,,,1715.9590454920753,3.3514825107267097
16,7,2,200,512,1.144,447.41,13.541815,37.81,410.328,14.338376413099468,0.796561413099468,5.555450562531846,120.98171875,58.0625,33801.0,1737.3844542194115,3.393329012147288,perf,,,,1737.3844542194115,3.393329012147288
16,8,2,200,512,1.561,327.93,13.416951,38.16,406.545,14.430977214127779,1.0140262141277798,7.0267328336923605,139.860625,56.09375,33801.0,2010.6793490293205,3.9271081035728916,perf,,,,2010.6793490293205,3.9271081035728916
16,9,2,200,512,1.426,359.04,13.432142,38.12,407.006,14.366951213218272,0.934809213218271,6.506663796270168,129.59625,56.8125,33801.0,1849.8612297614336,3.6130102143778,perf,,,,1849.8612297614336,3.6130102143778
16,10,2,200,512,1.569,326.42,13.430578,38.12,406.959,14.2830361276865,0.8524581276865,5.968325782177918,130.8973015873016,54.523809523809526,33801.0,1851.5694562497877,3.6163465942378665,perf,,,,1851.5694562497877,3.6163465942378665
